run_id,clock_div0,clock_div1,desired_baud,target_packets,receiver_timeout_s,enabled,notes
d18_d16_b100k,18,16,100000,200,180,1,from_summary
d20_d18_b100k,20,18,100000,200,180,1,from_summary
d22_d20_b100k,22,20,100000,200,180,1,from_summary
d24_d22_b100k,24,22,100000,200,180,1,from_summary
d26_d22_b100k,26,22,100000,200,180,1,from_summary
d26_d24_b100k,26,24,100000,200,180,1,from_summary
d28_d24_b100k,28,24,100000,200,180,1,from_summary
d28_d26_b100k,28,26,100000,200,180,1,from_summary
d30_d26_b100k,30,26,100000,200,180,1,from_summary
d32_d26_b100k,32,26,100000,200,180,1,from_summary
d30_d28_b100k,30,28,100000,200,180,1,from_summary
d32_d28_b100k,32,28,100000,200,180,1,from_summary
d34_d28_b100k,34,28,100000,200,180,1,from_summary
d32_d30_b100k,32,30,100000,200,180,1,from_summary
d34_d30_b100k,34,30,100000,200,180,1,from_summary
d36_d30_b100k,36,30,100000,200,180,1,from_summary
d34_d32_b100k,34,32,100000,200,180,1,from_summary
d36_d32_b100k,36,32,100000,200,180,1,from_summary
d36_d34_b100k,36,34,100000,200,180,1,from_summary
