run_id,clock_div0,clock_div1,desired_baud,requested_repeat_count,target_packets,valid_repeat_count,per_mean,per_std,ber_mean,ber_std,avg_rssi_dbm_mean,avg_rssi_dbm_std,valid_rows_mean,valid_rows_min,valid_rows_max,excluded_repeat_count
d18_d16_b100k,18,16,100000,2,200,2,0.2675,0.017677669529663705,0.04582589285714286,0.013289819414265023,-84.57,0.7141778489984116,200.0,200.0,200.0,0
d20_d16_b100k,20,16,100000,2,200,0,,0.0,,0.0,,0.0,,,,2
d20_d18_b100k,20,18,100000,2,200,2,0.20750000000000002,0.03181980515339464,0.034553571428571433,0.0015783633508628262,-82.5475,0.03889087296526494,200.0,200.0,200.0,0
d22_d16_b100k,22,16,100000,2,200,0,,0.0,,0.0,,0.0,,,,2
d22_d18_b100k,22,18,100000,2,200,0,,0.0,,0.0,,0.0,,,,2
d22_d20_b100k,22,20,100000,2,200,2,0.2175,0.03181980515339463,0.03334821428571429,0.007513009550107065,-81.7325,0.23688077169749905,200.0,200.0,200.0,0
d24_d18_b100k,24,18,100000,2,200,0,,0.0,,0.0,,0.0,,,,2
d24_d20_b100k,24,20,100000,2,200,0,,0.0,,0.0,,0.0,,,,2
d24_d22_b100k,24,22,100000,2,200,2,0.245,0.021213203435596434,0.03348214285714286,0.001704632418931859,-81.355,0.04242640687119446,200.0,200.0,200.0,0
d26_d20_b100k,26,20,100000,2,200,0,,0.0,,0.0,,0.0,,,,2
d26_d22_b100k,26,22,100000,2,200,2,0.3025,0.03181980515339461,0.041249999999999995,0.006818529675727419,-83.6375,0.17324116139070736,200.0,200.0,200.0,0
d26_d24_b100k,26,24,100000,2,200,2,0.15500000000000003,0.021213203435596434,0.01854910714285714,0.0018624687540181389,-81.55000000000001,0.18384776310850096,200.0,200.0,200.0,0
d28_d22_b100k,28,22,100000,1,200,0,,0.0,,0.0,,0.0,,,,1
d28_d24_b100k,28,24,100000,2,200,2,0.22749999999999998,0.024748737341529155,0.04002232142857143,0.007923384021331402,-82.58250000000001,0.11667261889577973,200.0,200.0,200.0,0
d28_d26_b100k,28,26,100000,2,200,2,0.20750000000000002,0.06717514421272203,0.03515625,0.010890707120953523,-81.955,0.10606601717798615,200.0,200.0,200.0,0
d30_d24_b100k,30,24,100000,1,200,0,,0.0,,0.0,,0.0,,,,1
d30_d26_b100k,30,26,100000,2,200,2,0.1925,0.06717514421272203,0.03359375,0.016888487854232272,-81.655,0.08485281374238891,200.0,200.0,200.0,0
d30_d28_b100k,30,28,100000,2,200,2,0.195,0.042426406871192854,0.02658482142857143,0.009375478304125207,-82.11,0.08485281374238891,200.0,200.0,200.0,0
d32_d26_b100k,32,26,100000,1,200,1,0.305,0.0,0.04424107142857143,0.0,-83.97,0.0,200.0,200.0,200.0,0
d32_d28_b100k,32,28,100000,2,200,2,0.1975,0.0742462120245875,0.028258928571428574,0.01572049897459378,-81.30000000000001,0.09899494936611203,200.0,200.0,200.0,0
