08:23:49.206 | 0f | 23 01 a4 27 aa 23 0e 1f 07 1f fb 13 92 21 82  |  -81 CRC error
08:23:49.465 | 0f | 24 01 b0 24 f0 20 2e 1e bc 18 3d 14 b3 23 28  |  -85 CRC error
08:23:49.724 | 0f | 25 01 bc 1c 41 13 af 20 61 21 60 11 14 16 d0  |  -85 CRC error
08:23:49.989 | 0f | 26 01 c8 13 42 22 4a 27 f1 0e ec 26 1b 28 d6  |  -88 CRC error
08:23:50.241 | 0f | 27 01 d4 25 68 1c 00 2b a1 1d 15 26 f9 2a 38  |  -83 CRC error
08:23:50.504 | 0f | 28 01 e0 21 b3 1f 87 21 31 32 36 21 e6 1b 28  |  -83 CRC error
08:23:50.764 | 0f | 29 01 ec 13 ae 1f 56 16 d8 19 31 25 dd 24 2a  |  -83 CRC error
08:23:51.021 | 0f | 2a 01 f8 23 b0 1d 16 26 f1 22 60 1d e0 24 ad  |  -87 CRC error
08:23:51.280 | 0f | 2b 02 04 15 b4 26 48 3a f5 25 94 1a 07 21 5a  |  -83 CRC error
08:23:51.539 | 0f | 2c 02 10 19 67 14 cd 23 50 1a 85 20 c1 19 92  |  -89 CRC error
08:23:51.798 | 0f | 2d 02 1c 20 1d 19 fd 1b 24 20 aa 1a 6d 28 76  |  -86 CRC error
08:23:52.060 | 0f | 2e 02 28 1e 56 0e 8d 20 a2 22 d0 1a d9 1b 0c  |  -88 CRC error
08:23:52.316 | 0f | 2f 02 34 14 8a 2e 28 24 44 1c 4b 0f 9e 23 8f  |  -82 CRC error
08:23:52.576 | 0f | 30 02 40 28 01 2d 49 1e 88 18 08 1c 1c 19 f4  |  -83 CRC error
08:23:52.834 | 0f | 31 02 4c 1a 82 1e d4 29 89 13 38 20 47 16 38  |  -86 CRC error
08:23:53.098 | 0f | 32 02 58 20 ed 1f bc 1d 6e 27 8b 20 c9 1e ec  |  -85 CRC error
08:23:53.355 | 0f | 33 02 64 1a c7 2a 2a 1f 01 18 65 2b de 15 9a  |  -82 CRC error
08:23:53.614 | 0f | 34 02 70 24 74 20 fc 18 00 21 7c 1a b5 14 cb  |  -83 CRC error
08:23:53.873 | 0f | 35 02 7c 22 03 1e 32 2a 94 24 70 11 58 1a 93  |  -85 CRC error
08:23:54.136 | 0f | 36 02 88 1f 0a 19 b7 1c 14 24 3a 1f 91 19 f5  |  -95 CRC error
08:23:54.390 | 0f | 37 02 94 26 a9 1b e4 1a a1 1e be 1d 86 1b ed  |  -90 CRC error
08:23:54.651 | 0f | 38 02 a0 26 04 20 c4 20 c6 21 5d 24 4f 17 f6  |  -86 CRC error
08:23:54.912 | 0f | 39 02 ac 11 37 24 81 1f 3a 1e 83 16 17 1d 92  |  -85 CRC error
08:23:55.171 | 0f | 3a 02 b8 17 22 1b ec 14 6a 1a f6 1f ec 2c 9d  |  -81 CRC error
