09:04:38.765 | 0f | 22 01 98 1a 7f 2f 7a 2c 16 2b 3f 1b 4a 20 f0  |  -96 CRC error
09:04:39.225 | 0f | 24 01 b0 24 f0 20 2e 1e bc 18 3d 14 b3 23 28  | -104 CRC error
09:04:40.265 | 0f | 28 11 e0 21 b3 17 85 21 31 12 36 29 e6 1b 28  |  -99 CRC error
09:04:40.784 | 0b | 2a 01 f8 23 b2 1d 16 26 b1 22 60  | -100 CRC error
09:04:41.039 | 0f | 2b 02 04 55 b4 26 4e ba f5 25 94 9a 07 21 5a  | -101 CRC error
09:04:41.816 | 0f | 2e 02 a8 1e 56 0e 8d 20 a2 22 d0 1a d9 1b 0c  | -104 CRC error
09:04:42.079 | 0d | 2f 02 35 54 8a 2e 2a 25 45 1c 4b 4f 9e  | -107 CRC error
09:04:42.853 | 0f | 32 02 48 20 ed 1f bc 1d 6e 27 8b 20 c9 1e ec  |  -96 CRC error
09:04:43.631 | 0f | 35 02 7c 22 03 1e 32 2a 94 24 70 11 58 1a 93  | -101 CRC error
09:04:43.891 | 0f | 36 02 88 1f 0a 19 b7 1c 14 24 3a 1f 91 19 f5  | -102 CRC error
09:04:44.415 | 0f | 38 02 a0 26 04 22 d4 a0 c6 21 5d 24 4f 17 f6  |  -97 CRC error
09:04:45.191 | 0f | 3b 02 c4 21 54 1e cd 1b 30 19 01 1c b6 1e 9a  |  -96 CRC error
09:04:45.452 | 0f | 3c 02 d0 1d eb 1e f3 1b 89 27 6b 1f b6 23 c4  | -101 CRC error
09:04:46.240 | 8f | 3f 02 f4 a4 b4 2b a8 25 2c 1f f1 17 6b 13 e6 d5 ad fa aa db 55 ea ab ae aa b5 55 55 6f fd 57 57 55 5f ea d6 af 55 7f d5 aa be aa aa fe aa ff fd 5a ad 55 56 da aa af aa bf 55 5d 5e af ff d5 6a ae aa de aa fd 5a ad 55 4b 52 d5 6a ba ba b5 57 55 aa b5 5d 55 5d 6d da aa fd 55 55 aa b5 fd 5b 6a b5 5d 7d 5a ad 4a d5 aa ea ba ad 7f ab 55 5d 55 57 d5 55 aa ad bf d5 55 aa ea aa d5 57 ea aa aa eb d6 aa aa fd 5d 5d 56 aa fa aa b5 55 7f  | -101 CRC error
09:04:46.484 | 0f | 40 03 00 1e 36 18 c2 22 cd 29 d2 19 38 1a 62  |  -96 CRC error
09:04:46.745 | 0f | 41 03 0c 1f 10 17 51 25 b3 1e 41 2f 64 26 b5  |  -94 CRC error
09:04:47.005 | 0f | 42 03 18 16 c2 0b 22 24 10 16 19 22 12 0e 6e  |  -96 CRC error
09:04:47.264 | 0f | 43 03 24 18 24 13 41 14 69 20 39 24 f7 20 24  |  -94 CRC error
09:04:47.523 | 0f | 44 03 30 18 a6 1d 34 27 4b 24 29 0f 8f 13 73  | -103 CRC error
09:04:48.555 | 0f | 48 03 60 10 71 27 54 14 71 15 2a 1e 89 32 62  |  -96 CRC error
09:04:48.820 | 0f | 49 03 6c 1b 47 23 73 26 c8 1f 55 13 a5 22 c0  |  -93 CRC error
